index,timeslot,total_demand,total_generation,consumption_from_grid,consumption_from_generation,grid_charge_power,generation_charge_power,discharge_power,battery_capacity
0,1:00,15.333551670216114,0.0,16.14543963680364,0.0,0.811887966587526,0.0,0.0,0.0
1,2:00,13.579181512902753,0.0,19.734541483057264,0.0,6.15535997015451,0.0,0.0,0.811887966587526
2,3:00,12.548114354952913,0.0,16.145439636803644,0.0,3.59732528185073,0.0,0.0,6.96724793674203
3,4:00,12.187293357321959,0.0,16.14543963680364,0.0,3.95814627948168,0.0,0.0,10.5645732185928
4,5:00,12.93076771718515,0.0,16.14543963680364,0.0,3.21467191961849,0.0,0.0,14.5227194980744
5,6:00,15.33830610030772,0.0,16.14543963680364,0.0,0.807133536495919,0.0,0.0,17.7373914176929
6,7:00,22.68488288319137,0.0,16.14543963680364,0.0,0.0,0.0,6.53944324638773,18.5445249541888
7,8:00,28.15052134460476,0.0,16.14543963680366,0.0,0.0,0.0,12.0050817078011,12.0050817078011
8,9:00,24.172238996300997,1.218972543712101,22.9532664525889,1.2189725437121,0.0,0.0,0.0,0.0
9,10:00,19.916071792990135,3.770632156186495,16.145439636803644,3.77063215618649,0.0,0.0,0.0,0.0
10,11:00,17.77393304602986,5.512850666790027,27.627941468329638,5.51285066679003,9.85400842229978,5.51285066679003,0.0,0.0
11,12:00,16.81055769313685,6.315885160769238,27.627941468329652,6.31588516076924,10.8173837751928,6.31588516076924,0.0,15.3668590890898
12,13:00,16.540165901407754,6.226889882342415,27.627941468329652,6.22688988234242,11.0877755669219,6.22688988234242,0.0,32.5001280250518
13,14:00,15.87746489892863,5.332568462365199,21.25917945513456,5.3325684623652,5.38171455620593,5.3325684623652,0.0,49.8147934743161
14,15:00,15.441689295035212,3.709253543698541,16.14543963680364,3.70925354369854,0.703750341768427,3.70925354369854,0.0,60.5290764928873
15,16:00,16.489999428309243,1.402479413151357,16.14543963680363,1.40247941315136,1.05791962164575,0.0,0.0,64.9420803783542
16,17:00,21.62730579728679,0.0,21.62730579728679,0.0,0.0,0.0,0.0,66.0
17,18:00,34.55704800715373,0.0,16.145439636803633,0.0,0.0,0.0,18.4116083703501,66.0
18,19:00,41.65394332694331,0.0,23.285255964157212,0.0,0.0,0.0,18.3686873627861,47.5883916296499
19,20:00,39.95122237119363,0.0,27.62794146832963,0.0,0.0,0.0,12.323280902864,29.2197042668638
20,21:00,38.047977441257665,0.0,27.627941468329666,0.0,0.0,0.0,10.420035972928,16.8964233639998
21,22:00,34.10432885940146,0.0,27.62794146832964,0.0,0.0,0.0,6.47638739107182,6.47638739107182
22,23:00,27.627941468329645,0.0,27.627941468329645,0.0,0.0,0.0,0.0,0.0
23,0:00,19.94502456462782,0.0,19.94502456462782,0.0,0.0,0.0,0.0,0.0
