index,time,count,mean,std,min,25_percent,50_percent,75_percent,max,percentage,percentage_sum
0,1:00,9300.0,0.5052113978494625,0.7174789949718474,0.0,0.161,0.27,0.5369999999999999,10.978000000000002,2.800030905747275,2.800030905747275
1,2:00,9300.0,0.4479248387096774,0.6291446110842362,0.0,0.154,0.253,0.45824999999999994,8.986,2.4825318612718124,5.282562767019087
2,3:00,9300.0,0.4144566666666667,0.5763634406664059,0.0,0.15,0.242,0.419,8.545,2.2970413587253513,7.579604125744439
3,4:00,9300.0,0.40291021505376345,0.5488136505767895,0.0,0.148,0.238,0.41000000000000003,8.514,2.2330475107926526,9.81265163653709
4,5:00,9300.0,0.42756,0.5601922708426648,0.0,0.148,0.244,0.45225,8.622,2.369663905361906,12.182315541898996
5,6:00,9300.0,0.5067313978494623,0.683106393843133,0.0,0.152,0.267,0.554,7.775,2.8084551950543895,14.990770736953385
6,7:00,9300.0,0.7498737634408602,0.9044170332894705,0.0,0.199,0.41100000000000003,0.885,7.882,4.156022057263773,19.14679279421716
7,8:00,9300.0,0.963527741935484,1.0762001623909627,0.0,0.28,0.562,1.21325,7.915,5.340155561510379,24.486948355727538
8,9:00,9300.0,0.8650850537634409,0.951501314701647,0.0,0.278,0.525,1.09225,8.249,4.794557084318669,29.281505440046207
9,10:00,9300.0,0.7127637634408601,0.8247524008061948,0.0,0.22999999999999998,0.43,0.863,8.573,3.950347467667037,33.23185290771325
10,11:00,9300.0,0.6361001075268817,0.7377041980319379,0.0,0.21300000000000002,0.379,0.768,8.978,3.525454825061462,36.757307732774706
11,12:00,9300.0,0.6016224731182797,0.6814508948003583,0.0,0.203,0.363,0.725,7.441,3.334369583691063,40.09167731646577
12,13:00,9300.0,0.5919455913978494,0.6461068344788669,0.0,0.208,0.379,0.718,6.407,3.280737444741302,43.37241476120707
13,14:00,9300.0,0.5682286021505377,0.5968245000120096,0.0,0.21300000000000002,0.373,0.6902499999999999,7.576,3.149290879666901,46.52170564087397
14,15:00,9300.0,0.5526329032258065,0.5969252757143976,0.0,0.20900000000000002,0.365,0.656,7.013,3.06285490618756,49.58456054706153
15,16:00,9300.0,0.5901502150537634,0.6229777470976083,0.0,0.229,0.401,0.703,6.763,3.2707869383348998,52.85534748539643
16,17:00,9300.0,0.7387195698924731,0.7532738477414304,0.0,0.278,0.498,0.931,10.85,4.094202219474847,56.94954970487127
17,18:00,9300.0,1.1385031182795697,1.0399424422240882,0.0,0.42400000000000004,0.812,1.5445,9.263,6.309920819368213,63.25947052423949
18,19:00,9300.0,1.3715070967741936,1.1722009019653614,0.0,0.5577500000000001,1.012,1.89825,10.33,7.6012977434126325,70.86076826765212
19,20:00,9300.0,1.3154500000000002,1.1463782882996931,0.0,0.539,0.976,1.7570000000000001,10.349,7.290612742792403,78.15138101044452
20,21:00,9300.0,1.2527767741935485,1.099427241737989,0.0,0.507,0.919,1.672,10.655999999999999,6.943259199368919,85.09464020981345
21,22:00,9300.0,1.1229355913978494,1.0489618662880318,0.0,0.42500000000000004,0.786,1.4809999999999999,8.981,6.223640983678804,91.31828119349225
22,23:00,9300.0,0.9096980645161289,0.9781339883513952,0.0,0.28,0.58,1.19025,10.151,5.041815577372667,96.36009677086491
23,0:00,9300.0,0.6567501075268817,0.8627417929834799,0.0,0.191,0.35,0.77125,10.582999999999998,3.6399032291350975,100.00000000000001
