index,time,count,mean,std,min,25_percent,50_percent,75_percent,max,percentage,percentage_sum
0,1:00,9300.0,0.0012977419354838707,0.02069502261217532,0.0,0.0,0.0,0.0,0.554,0.022028409292407666,0.022028409292407666
1,2:00,9300.0,0.003066989247311828,0.05102990406942012,0.0,0.0,0.0,0.0,1.1099999999999999,0.05206034619664794,0.07408875548905561
2,3:00,9300.0,0.004848924731182797,0.07394578129824923,0.0,0.0,0.0,0.0,1.52,0.0823076573901006,0.1563964128791562
3,4:00,9300.0,0.006087634408602151,0.09100074365364491,0.0,0.0,0.0,0.0,1.752,0.1033340286759185,0.2597304415550747
4,5:00,9300.0,0.006721182795698925,0.1006516139716353,0.0,0.0,0.0,0.0,1.895,0.1140881414898108,0.37381858304488547
5,6:00,9300.0,0.006359139784946236,0.09861264991583908,0.0,0.0,0.0,0.0,1.899,0.10794267342389507,0.48176125646878054
6,7:00,9300.0,0.011014623655913979,0.09304537652000745,0.0,0.0,0.0,0.006,1.804,0.1869667855064274,0.668728041975208
7,8:00,9300.0,0.13610075268817204,0.17896464747901472,0.0,0.025,0.069,0.194,2.331,2.310230565294905,2.978958607270113
8,9:00,9300.0,0.4058960215053764,0.37544295986865517,0.0,0.14400000000000002,0.344,0.55,5.163,6.889847239579678,9.868805846849792
9,10:00,9300.0,0.6725358064516129,0.5282227442697566,0.0,0.35,0.587,0.887,6.8,11.415901423260838,21.28470727011063
10,11:00,9300.0,0.8627104301075269,0.6228015301096343,0.0,0.525,0.725,1.075,7.3309999999999995,14.644004278209485,35.928711548320116
11,12:00,9300.0,0.950621935483871,0.7195777648489668,0.0,0.5940000000000001,0.782,1.15,7.638,16.136250593899167,52.06496214221929
12,13:00,9300.0,0.936870752688172,0.7275358006182795,0.0,0.575,0.764,1.125,8.219000000000001,15.902832319744817,67.9677944619641
13,14:00,9300.0,0.8205194623655914,0.6710098593661084,0.0,0.46900000000000003,0.6709999999999999,0.994,8.006,13.92783731122649,81.89563177319059
14,15:00,9300.0,0.6174791397849462,0.557839086464048,0.0,0.306,0.506,0.7689999999999999,7.2059999999999995,10.481346752222338,92.37697852541292
15,16:00,9300.0,0.34667655913978496,0.3916462052545904,0.0,0.119,0.244,0.44999999999999996,5.675,5.884631549621115,98.26161007503404
16,17:00,9300.0,0.09887010752688172,0.13016782415976716,0.0,0.023,0.056,0.126,1.5939999999999999,1.6782621689530623,99.93987224398711
17,18:00,9300.0,0.0026055913978494626,0.006523405866087095,0.0,0.0,0.0,0.002,0.094,0.04422838793384892,99.98410063192095
18,19:00,9300.0,0.0001427956989247312,0.0009171724030336622,0.0,0.0,0.0,0.0,0.013,0.002423873356559565,99.98652450527752
19,20:00,9300.0,0.00016322580645161292,0.000979202114439799,0.0,0.0,0.0,0.0,0.013,0.002770662466308298,99.98929516774382
20,21:00,9300.0,0.00013236559139784946,0.0008981979998586776,0.0,0.0,0.0,0.0,0.013,0.0022468283900036324,99.99154199613382
21,22:00,9300.0,0.00014956989247311828,0.0009651942742521496,0.0,0.0,0.0,0.0,0.013,0.0025388613245288815,99.99408085745834
22,23:00,9300.0,0.00014763440860215054,0.0009130553474053195,0.0,0.0,0.0,0.0,0.013,0.002506007619394791,99.99658686507773
23,0:00,9300.0,0.0002010752688172043,0.0017575360985432828,0.0,0.0,0.0,0.0,0.068,0.0034131349222638447,100.0
