index,timeslot,total_demand,total_generation,consumption_from_grid,consumption_from_generation,grid_charge_power,generation_charge_power,discharge_power,battery_soc,battery_discharge_potential
0,1:00,15.333551670216114,0.0,15.333551670216114,0.0,0.0,0.0,0.0,0.0,0.0
1,2:00,13.579181512902753,0.0,13.579181512902753,0.0,0.0,0.0,0.0,0.0,0.0
2,3:00,12.548114354952913,0.0,18.548114354952915,0.0,6.0,0.0,0.0,0.0,0.0
3,4:00,12.187293357321959,0.0,42.18729335732196,0.0,30.0,0.0,0.0,6.0,6.0
4,5:00,12.93076771718515,0.0,42.93076771718515,0.0,30.0,0.0,0.0,36.0,30.0
5,6:00,15.33830610030772,0.0,15.33830610030772,0.0,0.0,0.0,0.0,66.0,30.0
6,7:00,22.68488288319137,0.0,22.68488288319137,0.0,0.0,0.0,0.0,66.0,30.0
7,8:00,28.15052134460476,0.0,-4.263256414560601e-14,0.0,0.0,0.0,28.1505213446048,66.0,30.0
8,9:00,24.172238996300997,1.218972543712101,-1.5543122344752192e-15,1.2189725437121,0.0,0.0,22.9532664525889,37.8494786553952,30.0
9,10:00,19.916071792990135,3.770632156186495,1.2492274339973446,3.77063215618649,0.0,0.0,14.8962122028063,14.8962122028063,14.8962122028063
10,11:00,17.77393304602986,5.512850666790027,12.26108237923983,5.51285066679003,0.0,0.0,0.0,0.0,0.0
11,12:00,16.81055769313685,6.315885160769238,10.494672532367609,6.31588516076924,0.0,0.0,0.0,0.0,0.0
12,13:00,16.540165901407754,6.226889882342415,16.313276019065338,6.226889882342415,0.0,6.0,0.0,0.0,0.0
13,14:00,15.87746489892863,5.332568462365199,40.54489643656343,5.3325684623652,30.0,0.0,0.0,6.0,6.0
14,15:00,15.441689295035212,3.709253543698541,41.73243575133667,3.70925354369854,30.0,0.0,0.0,36.0,30.0
15,16:00,16.489999428309243,1.402479413151357,15.087520015157883,1.40247941315136,0.0,0.0,0.0,66.0,30.0
16,17:00,21.62730579728679,0.0,21.62730579728679,0.0,0.0,0.0,0.0,66.0,30.0
17,18:00,34.55704800715373,0.0,28.557048007153732,0.0,0.0,0.0,6.0,66.0,30.0
18,19:00,41.65394332694331,0.0,11.653943326943313,0.0,0.0,0.0,30.0,60.0,30.0
19,20:00,39.95122237119363,0.0,9.95122237119363,0.0,0.0,0.0,30.0,30.0,30.0
20,21:00,38.047977441257665,0.0,38.047977441257665,0.0,0.0,0.0,0.0,0.0,0.0
21,22:00,34.10432885940146,0.0,34.10432885940146,0.0,0.0,0.0,0.0,0.0,0.0
22,23:00,27.627941468329645,0.0,27.627941468329645,0.0,0.0,0.0,0.0,0.0,0.0
23,0:00,19.94502456462782,0.0,19.94502456462782,0.0,0.0,0.0,0.0,0.0,0.0
