index,timeslot,total_demand,total_generation,consumption_from_grid,consumption_from_generation,grid_charge_power,generation_charge_power,discharge_power,battery_soc,battery_discharge_potential
0,1:00,15.333551670216114,0.0,15.333551670216114,0.0,0.0,0.0,0.0,0.0,0.0
1,2:00,13.579181512902753,0.0,14.012060958556772,0.0,0.432879445654018,0.0,0.0,0.0,0.0
2,3:00,12.548114354952913,0.0,27.627941468329613,0.0,15.0798271133767,0.0,0.0,0.432879445654018,0.432879445654018
3,4:00,12.187293357321959,0.0,27.62794146832966,0.0,15.4406481110077,0.0,0.0,15.5127065590308,15.5127065590308
4,5:00,12.93076771718515,0.0,27.627941468329652,0.0,14.6971737511445,0.0,0.0,30.9533546700384,30.0
5,6:00,15.33830610030772,0.0,27.62794146832962,0.0,12.2896353680219,0.0,0.0,45.6505284211829,30.0
6,7:00,22.68488288319137,0.0,14.01206095855677,0.0,0.0,0.0,8.6728219246346,57.9401637892049,30.0
7,8:00,28.15052134460476,0.0,14.01206095855676,0.0,0.0,0.0,14.138460386048,49.2673418645703,30.0
8,9:00,24.172238996300997,1.218972543712101,14.012060958556766,1.2189725437121,0.0,0.0,8.94120549403213,35.1288814785223,30.0
9,10:00,19.916071792990135,3.770632156186495,14.012060958556773,3.77063215618649,0.0,0.0,2.13337867824687,26.1876759844901,26.1876759844901
10,11:00,17.77393304602986,5.512850666790027,14.01206095855677,5.51285066679003,1.75097857931694,0.0,0.0,24.0542973062433,24.0542973062433
11,12:00,16.81055769313685,6.315885160769238,14.01206095855677,6.3158851607692394,0.0,3.51738842618916,0.0,25.8052758855602,25.8052758855602
12,13:00,16.540165901407754,6.226889882342415,14.012060958556773,6.22688988234241,0.0,3.69878493949143,0.0,29.3226643117494,29.3226643117494
13,14:00,15.87746489892863,5.332568462365199,27.62794146832963,5.3325684623652,11.750476569401,5.3325684623652,0.0,33.0214492512408,30.0
14,15:00,15.441689295035212,3.709253543698541,27.627941468329613,3.70925354369854,12.1862521732944,3.70925354369854,0.0,50.104494283007,30.0
15,16:00,16.489999428309243,1.402479413151357,15.087520015157883,1.40247941315136,0.0,0.0,0.0,66.0,30.0
16,17:00,21.62730579728679,0.0,21.62730579728679,0.0,0.0,0.0,0.0,66.0,30.0
17,18:00,34.55704800715373,0.0,27.62794146832964,0.0,0.0,0.0,6.92910653882409,66.0,30.0
18,19:00,41.65394332694331,0.0,25.418634642404115,0.0,0.0,0.0,16.2353086845392,59.0708934611759,30.0
19,20:00,39.95122237119363,0.0,14.01206095855673,0.0,0.0,0.0,25.9391614126369,42.8355847766367,30.0
20,21:00,38.047977441257665,0.0,27.627941468329666,0.0,0.0,0.0,10.420035972928,16.8964233639998,16.8964233639998
21,22:00,34.10432885940146,0.0,27.62794146832964,0.0,0.0,0.0,6.47638739107182,6.47638739107182,6.47638739107182
22,23:00,27.627941468329645,0.0,27.627941468329645,0.0,0.0,0.0,0.0,0.0,0.0
23,0:00,19.94502456462782,0.0,19.94502456462782,0.0,0.0,0.0,0.0,0.0,0.0
