index,timeslot,total_demand,total_generation,consumption_from_grid,consumption_from_generation,grid_charge_power,generation_charge_power,discharge_power,battery_soc
0,1:00,10.108570816668598,0.0,10.108570816668598,0.0,0.0,0.0,0.0,0.0
1,2:00,8.934908333831022,0.0,8.934908333831022,0.0,0.0,0.0,0.0,0.0
2,3:00,8.238512677229302,0.0,8.238512677229302,0.0,0.0,0.0,0.0,0.0
3,4:00,7.989323983846736,0.0,30.000000000000036,0.0,22.0106760161533,0.0,0.0,0.0
4,5:00,8.474367065566291,0.0,23.50646819374819,0.0,15.0321011281819,0.0,0.0,22.0106760161533
5,6:00,10.066571104439657,0.0,10.066571104439657,0.0,0.0,0.0,0.0,37.0427771443352
6,7:00,14.87379409313695,0.0,14.87379409313695,0.0,0.0,0.0,0.0,37.0427771443352
7,8:00,17.365595153044485,0.0,17.365595153044485,0.0,0.0,0.0,0.0,37.0427771443352
8,9:00,13.662569867474486,2.1332019514961766,11.529367915978305,2.13320195149618,0.0,0.0,0.0,37.0427771443352
9,10:00,11.256910143863996,6.598606273326365,4.658303870537626,6.59860627332637,0.0,0.0,0.0,37.0427771443352
10,11:00,10.046136069495143,9.647488666882548,0.39864740261259257,9.64748866688255,0.0,0.0,0.0,37.0427771443352
11,12:00,9.501619565686047,11.052799031346165,-3.552713678800501e-15,11.05279903134617,0.0,1.55117946566012,0.0,37.0427771443352
12,13:00,9.348789422534816,10.897057294099225,-3.552713678800501e-15,10.89705729409923,0.0,1.54826787156441,0.0,38.5939566099953
13,14:00,8.9742192906988,9.331994809139097,0.0,9.331994809139097,0.0,0.357775518440297,0.0,40.1422244815597
14,15:00,8.727911340672074,6.491193701472447,2.2367176391996244,6.49119370147245,0.0,0.0,0.0,40.5
15,16:00,9.320434459479136,2.4543389730148744,6.866095486464266,2.45433897301487,0.0,0.0,0.0,40.5
16,17:00,13.392296447884712,0.0,13.392296447884712,0.0,0.0,0.0,0.0,40.5
17,18:00,22.784414974268767,0.0,22.784414974268767,0.0,0.0,0.0,0.0,40.5
18,19:00,27.49032914119853,0.0,13.356680255539729,0.0,0.0,0.0,14.1336488856588,40.5
19,20:00,26.366351114341246,0.0,4.618527782440651e-14,0.0,0.0,0.0,26.3663511143412,26.3663511143412
20,21:00,25.11048467253052,0.0,25.11048467253052,0.0,0.0,0.0,0.0,0.0
21,22:00,22.50752318024228,0.0,22.50752318024228,0.0,0.0,0.0,0.0,0.0
22,23:00,18.233124762814494,0.0,18.233124762814494,0.0,0.0,0.0,0.0,0.0
23,0:00,13.161923019828897,0.0,13.161923019828897,0.0,0.0,0.0,0.0,0.0
