index,timeslot,total_demand,total_generation,consumption_from_grid,consumption_from_generation,grid_charge_power,generation_charge_power,discharge_power,battery_soc
0,1:00,10.108570816668598,0.0,10.108570816668598,0.0,0.0,0.0,0.0,0.0
1,2:00,8.934908333831022,0.0,8.934908333831022,0.0,0.0,0.0,0.0,0.0
2,3:00,8.238512677229302,0.0,8.238512677229302,0.0,0.0,0.0,0.0,0.0
3,4:00,7.989323983846736,0.0,7.989323983846736,0.0,0.0,0.0,0.0,0.0
4,5:00,8.474367065566291,0.0,8.474367065566291,0.0,0.0,0.0,0.0,0.0
5,6:00,10.066571104439657,0.0,10.066571104439657,0.0,0.0,0.0,0.0,0.0
6,7:00,14.87379409313695,0.0,14.87379409313695,0.0,0.0,0.0,0.0,0.0
7,8:00,17.365595153044485,0.0,17.365595153044485,0.0,0.0,0.0,0.0,0.0
8,9:00,13.662569867474486,2.1332019514961766,11.529367915978305,2.13320195149618,0.0,0.0,0.0,0.0
9,10:00,11.256910143863996,6.598606273326365,4.658303870537626,6.59860627332637,0.0,0.0,0.0,0.0
10,11:00,10.046136069495143,9.647488666882548,0.39864740261259257,9.64748866688255,0.0,0.0,0.0,0.0
11,12:00,9.501619565686047,11.052799031346165,-3.552713678800501e-15,11.05279903134617,0.0,1.55117946566012,0.0,0.0
12,13:00,9.348789422534816,10.897057294099225,-3.552713678800501e-15,10.89705729409923,0.0,1.54826787156441,0.0,1.55117946566012
13,14:00,8.9742192906988,9.331994809139097,29.6422244815597,9.3319948091391,20.6680051908609,9.3319948091391,0.0,3.09944733722453
14,15:00,8.727911340672074,6.491193701472447,9.637270301975107,6.49119370147245,0.909358961303032,6.49119370147245,0.0,33.0994473372245
15,16:00,9.320434459479136,2.4543389730148744,6.866095486464266,2.45433897301487,0.0,0.0,0.0,40.5
16,17:00,13.392296447884712,0.0,13.392296447884712,0.0,0.0,0.0,0.0,40.5
17,18:00,22.784414974268767,0.0,-3.197442310920451e-14,0.0,0.0,0.0,22.7844149742688,40.5
18,19:00,27.49032914119853,0.0,9.774744115467328,0.0,0.0,0.0,17.7155850257312,17.7155850257312
19,20:00,26.366351114341246,0.0,26.366351114341246,0.0,0.0,0.0,0.0,0.0
20,21:00,25.11048467253052,0.0,25.11048467253052,0.0,0.0,0.0,0.0,0.0
21,22:00,22.50752318024228,0.0,22.50752318024228,0.0,0.0,0.0,0.0,0.0
22,23:00,18.233124762814494,0.0,18.233124762814494,0.0,0.0,0.0,0.0,0.0
23,0:00,13.161923019828897,0.0,13.161923019828897,0.0,0.0,0.0,0.0,0.0
